source_key,source_name,source_url,source_row_number,category,school_name_raw,school_name_clean,requirement_type,link_text,requirement_url_raw,requirement_url,is_missing_placeholder,placeholder_title,notes
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,1,USA MD,University of Alabama at Birmingham,University of Alabama at Birmingham,MD,MD Requirements,https://www.uab.edu/medicine/home/admissions/application-process,https://www.uab.edu/medicine/home/admissions/application-process,FALSE,,
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,1,USA MD,University of Alabama at Birmingham,University of Alabama at Birmingham,MD-PhD,MD-PhD Requirements,https://www.uab.edu/medicine/mstp/admissions,https://www.uab.edu/medicine/mstp/admissions,FALSE,,
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2,USA MD,Albany Medical College,Albany Medical College,MD,MD Requirements,https://www.amc.edu/academic/undergraduate/upload/Frequently-Asked-Questions.pdf,https://www.amc.edu/academic/undergraduate/upload/Frequently-Asked-Questions.pdf,FALSE,,
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,2,USA MD,Albany Medical College,Albany Medical College,MD-PhD,,,,TRUE,,MD-PhD requirement cell blank
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,3,USA MD,Albert Einstein College of Medicine,Albert Einstein College of Medicine,MD,MD Requirements,https://www.einsteinmed.edu/education/md-program/admissions/application-procedure/recommendation-letters.aspx,https://www.einsteinmed.edu/education/md-program/admissions/application-procedure/recommendation-letters.aspx,FALSE,,
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,3,USA MD,Albert Einstein College of Medicine,Albert Einstein College of Medicine,MD-PhD,MD-PhD Requirements,https://www.einsteinmed.edu/education/mstp/admissions/application.aspx,https://www.einsteinmed.edu/education/mstp/admissions/application.aspx,FALSE,,
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,4,USA MD,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,MD,MD Requirements,https://www.alwmedschool.org/admissions/,https://www.alwmedschool.org/admissions/,FALSE,,
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,4,USA MD,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,MD-PhD,,,,TRUE,,MD-PhD requirement cell blank
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,5,USA MD,University of Arizona (Phoenix),University of Arizona (Phoenix),MD,MD Requirements,https://phoenixmed.arizona.edu/admissions/application-process,https://phoenixmed.arizona.edu/admissions/application-process,FALSE,,
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,5,USA MD,University of Arizona (Phoenix),University of Arizona (Phoenix),MD-PhD,MD-PhD Requirements,https://phoenixmed.arizona.edu/mdphd-admissions,https://phoenixmed.arizona.edu/mdphd-admissions,FALSE,,
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,6,USA MD,University of Arizona (Tucson),University of Arizona (Tucson),MD,MD Requirements,https://medicine.arizona.edu/admissions/application-process/letters,https://medicine.arizona.edu/admissions/application-process/letters,FALSE,,
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,6,USA MD,University of Arizona (Tucson),University of Arizona (Tucson),MD-PhD,MD-PhD Requirements,https://mdphd.medicine.arizona.edu/admissions,https://mdphd.medicine.arizona.edu/admissions,FALSE,,
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,7,USA MD,Arizona State University,Arizona State University,MD,MD Requirements,https://medicine.asu.edu/future-students/admissions/requirements,https://medicine.asu.edu/future-students/admissions/requirements,FALSE,,
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,7,USA MD,Arizona State University,Arizona State University,MD-PhD,,,,TRUE,,MD-PhD requirement cell blank
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,8,USA MD,University of Arkansas,University of Arkansas,MD,MD Requirements,,,TRUE,,MD requirement link missing or placeholder
cycletrack_lors,CycleTrack Letters of Recommendation,https://cycletrack.org/lors,8,USA MD,University of Arkansas,University of Arkansas,MD-PhD,MD-PhD Requirements,#,,TRUE,We do not currently have the requirements for this program. Please send us the link for this program at admin@cycletrack.org.,MD requirement link missing or placeholder; MD-PhD requirement link missing or placeholder
