source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,admission_policies_and_information,notes
aamc_msar_admission_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/05_msar018-msar-admission-policies-and-information.pdf,1,4,600.412,AL,Frederick P. Whiddon College of Medicine at the University of South Alabama,Frederick P. Whiddon College of Medicine at the University of South Alabama,"For the 2026-2027 admissions cycle, accepted students to the Frederick P. Whiddon College of Medicine are expected to follow the Choose Your Medical School Tools guidelines as they relate to notifying medical schools concerning where they plan to attend. In light of the COVID- 19 pandemic, The Frederick P. Whiddon College of Medicine has carefully reviewed the requirements for admissions. We will accept Pass/Fail grading for prerequisite coursework completed in the Spring semester of 2020 . We will accept online coursework for prerequisite courses completed in the Spring, Summer, and Fall semesters of 2020 and will look at online coursework completed in the Spring semester of 2021 on a case-by-case basis.",
aamc_msar_admission_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/05_msar018-msar-admission-policies-and-information.pdf,2,4,569.411,AL,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,University of Alabama at Birmingham Marnix E. Heersink School of Medicine,Please visit our website for more information. Selection criteria: https://www.uab.edu/medicine/home/admissions/selection-criteria Application process: https://www.uab.edu/medicine/home/admissions/application-process,
aamc_msar_admission_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/05_msar018-msar-admission-policies-and-information.pdf,3,4,466.411,AR,Alice L. Walton School of Medicine,Alice L. Walton School of Medicine,"AWSOM ’ s admissions philosophy emphasizes our mission and values aligned approach to identifying applicants who mostly strongly align with our mission, vision, and learning community. Applicants who meet our minimum requirements will be provided instructions on completing a supplemental application. Once the supplemental application, application fee, and required letters of recommendation are received, completed files are reviewed for an interview decision. All interviews will be conducted virtually and held on Friday afternoons. Applicants can expect email communication at each point in the application process and information published in the admissions portal. All applicants are expected to comply fully and professionally with AAMC Admissions Protocols. Admitted students are required to select “ Plan to Enroll ” and “ Commit to Enroll ” through AMCAS by assigned deadlines.",
aamc_msar_admission_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/05_msar018-msar-admission-policies-and-information.pdf,4,4,435.411,AR,University of Arkansas for Medical Sciences College of Medicine,University of Arkansas for Medical Sciences College of Medicine,The UAMS College of Medicine Admissions Committee has 15 members appointed by the Dean of the College of Medicine and approved by the University of Arkansa Board of Trustees. The committee is the only body with authority to make admissions decisions.,
aamc_msar_admission_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/05_msar018-msar-admission-policies-and-information.pdf,5,4,341.410,AZ,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),"o Bachelor ’ s degree from a regionally-accredited institution in the US or Canada. - Degree can be earned with any major and/or minor. o Minimum MCAT of 504 o Undergraduate Degree GPA - Overall GPA 3.0 or higher. - BCPM (Science) GPA 3.0 or higher. o There is no required coursework or major for entry to the program. - Strongly recommended courses include general pre-med coursework (biology, chemistry, anatomy and physiology, humanities, English, behavioral sciences, and math), higher math, and physics.",
aamc_msar_admission_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/05_msar018-msar-admission-policies-and-information.pdf,6,4,310.410,AZ,University of Arizona College of Medicine,University of Arizona College of Medicine,"The primary application is December 1, 2026. Our secondary application is due December 22, 2026, or by 5:00 pm AZ time, or 21 days after you have been sent the secondary application (whichever comes first).",
aamc_msar_admission_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/05_msar018-msar-admission-policies-and-information.pdf,7,4,288.410,AZ,University of Arizona College of Medicine - Phoenix,University of Arizona College of Medicine - Phoenix,https://phoenixmed.arizona.edu/admission-requirements,
aamc_msar_admission_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/05_msar018-msar-admission-policies-and-information.pdf,8,4,257.410,CA,California Northstate University College of Medicine,California Northstate University College of Medicine,"https://medicine.cnsu.edu/admissions/steps.php For more information, please email comadmissions@cnsu.edu",
aamc_msar_admission_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/05_msar018-msar-admission-policies-and-information.pdf,9,4,100.409,CA,California University of Science and Medicine- School of Medicine,California University of Science and Medicine- School of Medicine,"Please see more information about California University of Science and Medicine - School of Medicine on our website: https://cusm.edu/academics/md/index.php https://cusm.edu/academics/md/application-process/index.php Early Decision Program Information:  August 3 , 2026 : Primary AMCAS application and transcripts must be submitted to AMCAS.  August 24 , 2026 : CUSM-SOM Admissions Office must receive an applicant ’ s official MCAT score (s) by 5 p.m. PST to be considered to receive a Secondary Application invitation.  August 31 , 2026 : All Secondary Application components must be submitted by 5 p.m. PST.  August 24 , 2026 : Interview Assessment  September 23 , 2026 : Interviews Assessment Concludes Regular Application Cycle: Interview Assessments begin in October 2026 Application Deadline: November 30 , 2026 Secondary Application Deadline: December 30 , 2026",
aamc_msar_admission_policies,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/05_msar018-msar-admission-policies-and-information.pdf,10,8,600.412,CA,Charles R. Drew University of Medicine and Science College of Medicine,Charles R. Drew University of Medicine and Science College of Medicine,"The charge of the Admissions Committee is to select candidates for admission to the COM MD Program according to the policy and guarantee the selection of prospective medical students for admission is not influenced by any political or financial factors. The MD Program Admissions Committee will use a holistic admissions process that prioritizes sustained, demonstrated community service in under-resourced communities, and provides balanced consideration to academic performance and other items like “ distance traveled, ” first- generation college students, socio-economically disadvantaged students (pell grant recipients), veterans, and applicants currently serving in the military.",
