school_id,school_name,degree_type,aacom_profile_url,aacom_profile_title,match_status,match_score,fetch_status,extraction_status,stats_academic_year,metric_population,metric_type,mcat_mean,overall_gpa_mean,oldest_mcat_considered,latest_mcat_accepted,evidence_text,source_last_checked,data_confidence,review_status,notes
do_atsu_kcom_a_t_still_university_kirksville_college_of_osteopathic_medicine_kirksv,A.T. Still University – Kirksville College of Osteopathic Medicine,DO,https://www.aacom.org/detail-pages/com/a-t-still-university-of-health-sciences---kirksville-college-of-osteopathic-medicine,A.T. Still University of Health Sciences - Kirksville College of Osteopathic Medicine | AACOM,safe_match,1.42,fetched,accepted,2026-27,AACOM COM-submitted profile,aacom_reported_mean,502.9,3.62,,,"MCAT/GPA Information Mean MCAT Score 502.9 Avg. Cum. Undergrad GPA Score 3.62 Oldest MCAT Considered: January 1, 2023 Latest MCAT Score Accepted: January 31, 2027 Accepted Sources for Letters of Recommendation AACOMAS Interfolio Paper Email Main Admissions Contact (660) 627-2237 Phone admissions@atsu.edu Email https://www.atsu.edu/department-of-student-affairs/admissions Website Tuition, Fees & Financial Aid 2026-2027 Academic Year Tuition In-State Tuition $68,960 Out-of-State Tuition $68,960 Fees Annual Fees In-State Resident Fees $2,684 Out-of-State Resident Fees $2,684 Health Insurance Fee $4,376 (subject to change) Tuition Fees Include Lab Technology (not computer) Other Medical Equipmen",2026-06-08,aacom_com_submitted_profile,approved_aacom_extraction,AACOM COM-submitted profile mean MCAT and cumulative undergraduate GPA were extracted.
do_atsu_soma_a_t_still_university_school_of_osteopathic_medicine_in_arizona_mesa_ar,"A.T. Still University, School of Osteopathic Medicine in Arizona",DO,https://www.aacom.org/detail-pages/com/a.t.-still-university-school-of-osteopathic-medicine-in-arizona,A.T. Still University-School of Osteopathic Medicine in Arizona | AACOM,safe_match,1.42,fetched,accepted,2026-27,AACOM COM-submitted profile,aacom_reported_mean,502.6,3.56,,,"MCAT/GPA Information Mean MCAT Score 502.6 Avg. Cum. Undergrad GPA Score 3.56 Oldest MCAT Considered: January 15, 2023 Latest MCAT Score Accepted: January 15, 2027 Accepted Sources for Letters of Recommendation AACOMAS Interfolio Paper Email Main Admissions Contact (480) 245-6279 Phone admissions@atsu.edu Email https://www.atsu.edu/student-affairs/admissions Website Tuition, Fees & Financial Aid 2026-2027 Academic Year Tuition In-State Tuition $71,750 Out-of-State Tuition $71,750 Fees Annual Fees In-State Resident Fees $2,484 Out-of-State Resident Fees $2,484 Health Insurance Fee $4,376 (2025 rate. 2026 rate TBA) Tuition Fees Include Lab Technology (not computer) Other Medical Equipment Esti",2026-06-08,aacom_com_submitted_profile,approved_aacom_extraction,AACOM COM-submitted profile mean MCAT and cumulative undergraduate GPA were extracted.
do_acom_alabama_college_of_osteopathic_medicine_dothan_alabama,Alabama College of Osteopathic Medicine,DO,https://www.aacom.org/detail-pages/com/alabama-college-of-osteopathic-medicine,Alabama College of Osteopathic Medicine | AACOM,safe_match,1.42,fetched,accepted,2026-27,AACOM COM-submitted profile,aacom_reported_mean,503.6,3.58,,,"MCAT/GPA Information Mean MCAT Score 503.6 Avg. Cum. Undergrad GPA Score 3.58 Oldest MCAT Considered: March 31, 2022 Latest MCAT Score Accepted: January 31, 2027 Accepted Sources for Letters of Recommendation AACOMAS Interfolio Paper Email Main Admissions Contact (334) 699-2266 Phone admissions@acom.edu Email https://www.acom.edu/admissions/ Website Tuition, Fees & Financial Aid 2026-2027 Academic Year Tuition In-State Tuition $61,788 Out-of-State Tuition $61,788 Fees Annual Fees In-State Resident Fees $250 Out-of-State Resident Fees $250 Health Insurance Fee $3,934 Tuition Fees Include Computer Estimates, Deposits, and More Estimated Annual Room Board, Books, and Living Costs $37,817 Averag",2026-06-08,aacom_com_submitted_profile,approved_aacom_extraction,AACOM COM-submitted profile mean MCAT and cumulative undergraduate GPA were extracted.
do_arcom_arkansas_college_of_osteopathic_medicine_fort_smith_arkansas,Arkansas College of Osteopathic Medicine,DO,https://www.aacom.org/detail-pages/com/arkansas-college-of-osteopathic-medicine,Arkansas College of Osteopathic Medicine | AACOM,safe_match,1.42,fetched,accepted,2026-27,AACOM COM-submitted profile,aacom_reported_mean,498.7,3.56,,,"MCAT/GPA Information Mean MCAT Score 498.7 Avg. Cum. Undergrad GPA Score 3.56 Oldest MCAT Considered: May 1, 2023 Latest MCAT Score Accepted: March 16, 2027 Accepted Sources for Letters of Recommendation AACOMAS Interfolio Paper Email Main Admissions Contact (479) 308-2220 Phone admissions.arcom@achehealth.edu Email http://arcom.achehealth.edu Website Tuition, Fees & Financial Aid 2026-2027 Academic Year Tuition In-State Tuition $60,500 Out-of-State Tuition $60,500 Fees Annual Fees In-State Resident Fees $665 Out-of-State Resident Fees $665 Health Insurance Fee $4470 Tuition Fees Include Other Diagnostic Kit Estimates, Deposits, and More Estimated Annual Room Board, Books, and Living Costs $",2026-06-08,aacom_com_submitted_profile,approved_aacom_extraction,AACOM COM-submitted profile mean MCAT and cumulative undergraduate GPA were extracted.
do_bucom_baptist_health_sciences_university_college_of_osteopathic_medicine_memphis,Baptist Health Sciences University College of Osteopathic Medicine,DO,https://www.aacom.org/detail-pages/com/baptist-health-sciences-university-college-of-osteopathic-medicine,Baptist Health Sciences University College of Osteopathic Medicine | AACOM,safe_match,1.42,fetched,accepted,2026-27,AACOM COM-submitted profile,aacom_reported_mean,498.4,3.5,,,"MCAT/GPA Information Mean MCAT Score 498.4 Avg. Cum. Undergrad GPA Score 3.50 Oldest MCAT Considered: January 25, 2023 Latest MCAT Score Accepted: January 31, 2027 Accepted Sources for Letters of Recommendation AACOMAS Paper Email Main Admissions Contact (901) 572-2699 Phone BUCOMAdmissions@baptistu.edu Email https://www.baptistu.edu/BUCOMadmissions Website Tuition, Fees & Financial Aid 2026-2027 Academic Year Tuition In-State Tuition $55,166 Out-of-State Tuition $55,166 Fees Annual Fees In-State Resident Fees $1,205 Out-of-State Resident Fees $1,205 Health Insurance Fee $4,158 Tuition Fees Include Health Service Student Activities Technology (not computer) Other Parking, technology, student",2026-06-08,aacom_com_submitted_profile,approved_aacom_extraction,AACOM COM-submitted profile mean MCAT and cumulative undergraduate GPA were extracted.
do_bcsom_burrell_college_school_of_osteopathic_medicine_las_cruces_new_mexico,Burrell College School of Osteopathic Medicine,DO,https://www.aacom.org/detail-pages/com/burrell-college-of-osteopathic-medicine,Burrell College of Health Sciences School of Osteopathic Medicine | AACOM,safe_match,1.42,fetched,accepted,2026-27,AACOM COM-submitted profile,aacom_reported_mean,500,3.46,,,"MCAT/GPA Information Mean MCAT Score 500.0 Avg. Cum. Undergrad GPA Score 3.46 Oldest MCAT Considered: July 1, 2022 Latest MCAT Score Accepted: March 1, 2027 Accepted Sources for Letters of Recommendation AACOMAS Main Admissions Contact (575) 674-2210 Phone admissions@burrell.edu Email https://burrell.edu/admissions Website Tuition, Fees & Financial Aid 2026-2027 Academic Year Tuition In-State Tuition $70,622 Out-of-State Tuition $70,622 Fees Annual Fees In-State Resident Fees $1,975 (NM); $3,657 (FL) Out-of-State Resident Fees $1,975 (NM); $3,657 (FL) Health Insurance Fee N/A Tuition Fees Include Health Service Lab Student Activities Student Services Technology (not computer) Other Estimates",2026-06-08,aacom_com_submitted_profile,approved_aacom_extraction,AACOM COM-submitted profile mean MCAT and cumulative undergraduate GPA were extracted.
do_bcsom_fl_burrell_college_school_of_osteopathic_medicine_florida_melbourne_florid,"Burrell College School of Osteopathic Medicine, Florida",DO,https://www.aacom.org/detail-pages/com/burrell-college---florida-campus,Burrell College of Health Sciences School of Osteopathic Medicine | AACOM,safe_match,1.42,fetched,accepted,2026-27,AACOM COM-submitted profile,aacom_reported_mean,500,3.46,,,"MCAT/GPA Information Mean MCAT Score 500.0 Avg. Cum. Undergrad GPA Score 3.46 Oldest MCAT Considered: July 1, 2022 Latest MCAT Score Accepted: March 1, 2027 Accepted Sources for Letters of Recommendation AACOMAS Main Admissions Contact (575) 674-2210 Phone admissions@burrell.edu Email https://burrell.edu/admissions Website Tuition, Fees & Financial Aid 2026-2027 Academic Year Tuition In-State Tuition $70,622 Out-of-State Tuition $70,622 Fees Annual Fees In-State Resident Fees $1,975 (NM); $3,657 (FL) Out-of-State Resident Fees $1,975 (NM); $3,657 (FL) Health Insurance Fee N/A Tuition Fees Include Health Service Lab Student Activities Student Services Technology (not computer) Other Estimates",2026-06-08,aacom_com_submitted_profile,approved_aacom_extraction,AACOM COM-submitted profile mean MCAT and cumulative undergraduate GPA were extracted.
do_chsu_com_california_health_sciences_university_college_of_osteopathic_medicine_c,California Health Sciences University College of Osteopathic Medicine,DO,https://www.aacom.org/detail-pages/com/california-health-sciences-university-college-of-osteopathic-medicine,California Health Sciences University College of Osteopathic Medicine | AACOM,safe_match,1.42,fetched,accepted,2026-27,AACOM COM-submitted profile,aacom_reported_mean,504.9,3.58,,,"MCAT/GPA Information Mean MCAT Score 504.9 Avg. Cum. Undergrad GPA Score 3.58 Oldest MCAT Considered: January 31, 2023 Latest MCAT Score Accepted: January 31, 2027 Accepted Sources for Letters of Recommendation AACOMAS Interfolio Main Admissions Contact (559) 712-4222 Phone COMAdmissions@chsu.edu Email https://osteopathic.chsu.edu/admissions/ Website Tuition, Fees & Financial Aid 2026-2027 Academic Year Tuition In-State Tuition $70,700 Out-of-State Tuition $70,700 Fees Annual Fees In-State Resident Fees $3,350 Out-of-State Resident Fees $3,350 Health Insurance Fee $5,479 Tuition Fees Include Technology (not computer) Other STRF Fee Estimates, Deposits, and More Estimated Annual Room Board, B",2026-06-08,aacom_com_submitted_profile,approved_aacom_extraction,AACOM COM-submitted profile mean MCAT and cumulative undergraduate GPA were extracted.
do_cusom_campbell_university_jerry_m_wallace_school_of_osteopathic_medicine_buies_c,Campbell University Jerry M. Wallace School of Osteopathic Medicine,DO,https://www.aacom.org/detail-pages/com/campbell-university-jerry-m.-wallace-school-of-osteopathic-medicine,Campbell University Jerry M. Wallace School of Osteopathic Medicine | AACOM,safe_match,1.04,fetched,accepted,2026-27,AACOM COM-submitted profile,aacom_reported_mean,504.6,3.61,,,"MCAT/GPA Information Mean MCAT Score 504.6 Avg. Cum. Undergrad GPA Score 3.61 Oldest MCAT Considered: January 1, 2024 Latest MCAT Score Accepted: January 31, 2027 Accepted Sources for Letters of Recommendation AACOMAS Interfolio Paper Email Main Admissions Contact (855) 287-6613 Phone cusomadmissions@campbell.edu Email https://medicine.campbell.edu/admissions/ Website Tuition, Fees & Financial Aid 2026-2027 Academic Year Tuition In-State Tuition $61,180 Out-of-State Tuition $61,180 Fees Annual Fees In-State Resident Fees $2,210 Out-of-State Resident Fees $2,210 Health Insurance Fee $4,390 Tuition Fees Include Computer Health Service Lab Student Activities Student Services Technology (not com",2026-06-08,aacom_com_submitted_profile,approved_aacom_extraction,AACOM COM-submitted profile mean MCAT and cumulative undergraduate GPA were extracted.
do_dmu_com_des_moines_university_college_of_osteopathic_medicine_west_des_moines_io,Des Moines University College of Osteopathic Medicine,DO,https://www.aacom.org/detail-pages/com/des-moines-university-college-of-osteopathic-medicine,Des Moines University College of Osteopathic Medicine | AACOM,safe_match,1.42,fetched,accepted,2026-27,AACOM COM-submitted profile,aacom_reported_mean,507.1,3.71,,,"MCAT/GPA Information Mean MCAT Score 507.1 Avg. Cum. Undergrad GPA Score 3.71 Oldest MCAT Considered: January 1, 2024 Latest MCAT Score Accepted: January 1, 2027 Accepted Sources for Letters of Recommendation AACOMAS Main Admissions Contact (515) 271-1499 Phone dmuadmit@dmu.edu Email https://www.dmu.edu/admission Website Tuition, Fees & Financial Aid 2026-2027 Academic Year Tuition In-State Tuition $68,620 Out-of-State Tuition $68,620 Fees Annual Fees In-State Resident Fees $89 Out-of-State Resident Fees $89 Health Insurance Fee $4,104 Tuition Fees Include Computer Health Service Lab Microscope Rental Student Activities Student Services Technology (not computer) Estimates, Deposits, and More",2026-06-08,aacom_com_submitted_profile,approved_aacom_extraction,AACOM COM-submitted profile mean MCAT and cumulative undergraduate GPA were extracted.
